index	x	y
0	90	35
1	99	11
2	42	74
3	82	37
4	19	62
5	49	34
6	92	44
7	27	29
8	56	89
9	49	31
10	30	13
11	34	78
12	37	81
13	82	40
14	39	74
15	93	93
16	77	16
17	3	42
18	15	89
19	65	72
20	66	31
21	67	34
22	38	100
23	27	99
24	31	73
25	86	50
26	73	53
27	49	45
28	2	91
29	64	88
30	97	87
31	34	27
32	13	66
33	74	20
34	56	46
35	100	4
36	48	54
37	19	86
38	26	41
39	96	25
40	14	11
41	45	69
42	47	85
43	65	11
44	24	50
45	43	91
46	84	74
47	76	63
48	85	57
49	16	45
50	19	59
51	71	37
52	73	69
53	66	42
54	91	79
55	48	1
56	100	83
57	5	93
58	58	64
59	59	35
60	16	12
61	83	85
62	59	29
63	58	18
64	93	99
65	90	20
66	12	68
67	46	26
68	19	75
69	62	3
70	11	63
71	65	68
72	75	69
73	49	11
74	64	85
75	59	33
76	86	9
77	15	56
78	54	22
79	53	83
80	23	39
81	96	32
82	63	14
83	91	91
84	27	73
85	0	16
86	95	17
87	54	58
88	95	36
89	88	56
90	90	22
91	28	98
92	94	42
93	77	93
94	37	84
95	39	32
96	38	51
97	62	94
98	97	10
99	28	54
