,instancia,tamanho,execu��es,media_tempo_cons_inicial,media_tempo_busca_local,media_tempo_total,desvio_tempo_total,media_custo,desvio_custo,
0,0,100,3,0.00006,6.35131,6.35136,1.19036,668.49546,29.12552,
1,1,100,3,0.00007,7.22142,7.22149,0.90109,620.41733,12.07683,
2,2,100,3,0.00005,5.23192,5.23197,0.39354,569.10184,11.40823,
3,3,100,3,0.00005,7.20300,7.20305,0.12319,661.53518,8.24706,
4,4,100,3,0.00006,5.31951,5.31956,0.74176,641.64604,26.83169,
5,5,100,3,0.00007,5.16042,5.16048,0.32691,562.75658,12.83296,
6,6,100,3,0.00006,7.38229,7.38234,1.45908,520.76247,12.85611,
7,7,100,3,0.00005,6.94863,6.94869,2.52538,606.87211,18.49256,
8,8,100,3,0.00004,5.73937,5.73942,0.67932,597.33389,7.53929,
9,9,100,3,0.00007,6.95932,6.95939,0.99505,610.54798,7.97998,
10,10,100,3,0.00006,5.84145,5.84151,0.94385,634.92371,22.44807,
11,11,100,3,0.00006,5.48813,5.48819,0.63965,517.21734,42.19933,
12,12,100,3,0.00005,6.20469,6.20474,1.41220,650.43066,36.73237,
13,13,100,3,0.00007,6.44872,6.44879,1.20664,676.69924,31.74623,
14,14,200,3,0.00004,6.50877,6.50881,2.32055,643.85453,11.48760,
15,15,200,3,0.00005,6.23401,6.23406,1.28186,572.40452,10.97476,
16,16,200,3,0.00013,72.13166,72.13179,11.35982,853.86360,28.88168,
17,17,200,3,0.00038,72.85106,72.85144,2.73168,871.77246,50.01664,
18,18,200,3,0.00007,67.23334,67.23341,10.82115,877.44238,27.58179,
19,19,200,3,0.00010,66.34521,66.34530,10.05494,780.05968,45.01795,
20,20,200,3,0.00015,56.22715,56.22730,9.04641,781.40175,16.37079,
21,21,200,3,0.00023,58.92373,58.92396,11.31196,904.78847,22.44601,
22,22,200,3,0.00015,62.39253,62.39268,10.25214,854.38621,43.71231,
23,23,200,3,0.00010,64.41503,64.41513,11.36008,942.41073,48.77207,
24,24,200,3,0.00008,57.90137,57.90145,4.94573,856.69203,34.06912,
25,25,200,3,0.00008,72.51927,72.51935,12.31279,907.18199,26.39303,
26,26,200,3,0.00018,53.42483,53.42501,3.86942,838.75927,13.22144,
27,27,200,3,0.00007,63.38370,63.38377,8.64292,816.83679,43.68157,
28,28,200,3,0.00007,70.19979,70.19985,12.96758,825.14470,16.36106,
29,29,200,3,0.00008,64.37297,64.37306,16.94156,896.37092,26.60060,
30,30,300,3,0.00010,61.64562,61.64572,7.73301,798.92496,4.76620,
31,31,300,3,0.00015,227.29502,227.29517,32.53093,827.50090,23.61040,
32,32,300,3,0.00012,318.26385,318.26397,53.79848,895.41796,37.10954,
33,33,300,3,0.00012,245.53167,245.53179,25.75833,851.51544,20.13251,
34,34,300,3,0.00017,237.30477,237.30494,53.57942,875.05515,47.53590,
35,35,300,3,0.00018,278.17552,278.17571,1.61925,888.42748,38.90820,
36,36,300,3,0.00039,258.58276,258.58314,27.27447,698.98542,20.76175,
37,37,300,3,0.00013,231.86088,231.86101,44.51093,956.80072,17.84834,
38,38,300,3,0.00015,306.05376,306.05391,13.92184,831.53197,9.37870,
39,39,300,3,0.00019,327.33479,327.33497,76.00622,865.73851,21.03682,
40,40,300,3,0.00012,178.16524,178.16536,31.77844,855.41608,17.35057,
41,41,300,3,0.00029,282.42063,282.42092,1.83791,775.67883,54.76861,
42,42,300,3,0.00013,251.83153,251.83166,38.70744,880.98259,28.39907,
43,43,300,3,0.00013,236.27781,236.27794,41.78133,875.50324,32.94277,
44,44,300,3,0.00013,233.44727,233.44740,27.21820,806.16769,35.48534,
