,instance,execution,initial_construction_time,local_search_time,total_time,z_value
0,0,1,5.169998621568084e-05,3.5524540999904275,3.552505799976643,723.8138594682883
1,0,2,4.7200010158121586e-05,4.78577519999817,4.785822400008328,598.0660901401994
2,0,3,6.3000014051795e-05,4.503836199990474,4.5038992000045255,611.6347502714138
3,1,1,8.939998224377632e-05,6.585045900021214,6.585135300003458,567.8309107023381
4,1,2,5.9100042562931776e-05,4.785044999967795,4.785104100010358,559.3636558939896
5,1,3,6.029999349266291e-05,8.367875099997036,8.367935399990529,593.0766850801106
6,2,1,7.529999129474163e-05,5.113759099971503,5.113834399962798,643.6477776497313
7,2,2,4.350004019215703e-05,7.289554100017995,7.289597600058187,651.3711155329612
8,2,3,8.349999552592635e-05,4.497834599984344,4.49791809997987,663.3225661010466
9,3,1,0.0001444000517949462,7.103958000021521,7.104102400073316,535.5103725773682
10,3,2,5.13000413775444e-05,3.698093799990602,3.6981451000319794,543.6832525622359
11,3,3,4.529999569058418e-05,5.222730599984061,5.222775899979752,617.7783274776687
12,4,1,6.250001024454832e-05,7.5779603000264615,7.578022800036706,547.9684395745564
13,4,2,4.39999857917428e-05,5.460555400000885,5.460599399986677,629.3304464927222
14,4,3,6.250001024454832e-05,6.444594000000507,6.444656500010751,555.736613990704
15,5,1,6.210000719875097e-05,8.278134599968325,8.278196699975524,528.2770197418884
16,5,2,4.1599967516958714e-05,6.2571348999626935,6.25717649993021,604.2584866987124
17,5,3,4.770001396536827e-05,5.101807700004429,5.101855400018394,612.8049380107377
18,6,1,6.469996878877282e-05,4.208028199966066,4.208092899934854,578.2084820003768
19,6,2,5.339999916031957e-05,6.195075399999041,6.195128799998201,620.9067226678003
20,6,3,0.00010329997166991234,5.912066799995955,5.912170099967625,654.4814507411385
21,7,1,0.00011049996828660369,6.200521099963225,6.200631599931512,497.6465826824008
22,7,2,3.880000440403819e-05,4.730071300000418,4.730110100004822,529.1103107911642
23,7,3,6.3000014051795e-05,5.81855640001595,5.818619400030002,481.50333502939384
24,8,1,5.849997978657484e-05,8.449740800017025,8.449799299996812,697.1170883507584
25,8,2,8.979998528957367e-05,6.08258869999554,6.08267849998083,686.4004473641639
26,8,3,6.829999620094895e-05,7.631173499976285,7.631241799972486,717.7763099224329
27,9,1,6.86999992467463e-05,3.249906299985014,3.2499749999842606,669.0158382769381
28,9,2,7.82000133767724e-05,7.142594899982214,7.142673099995591,630.4501149981845
29,9,3,5.640002200379968e-05,5.879352900024969,5.879409300046973,600.7203769381231
30,10,1,5.2799994591623545e-05,7.401831199997105,7.401883999991696,551.938678087239
31,10,2,5.229999078437686e-05,6.773543299990706,6.7735955999814905,565.0602748360702
32,10,3,4.7499954234808683e-05,5.383267999975942,5.383315499930177,559.3277595465048
